,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
ALB,1.080262688953654,-0.3945769276927273,-0.18987206132644557,-0.5330469382696489,1.8902950775920593,1.9115088077891769,0.5942344461139527,-2.10805216793791,-1.8594835370387341,0.3506253195892182,-0.9456585000014143,-1.5586687336448557
AUT,0.2580411330068248,0.5376280719579793,-0.01604076205245332,-0.06951622728611095,-0.821377808089087,0.5224109412037191,-1.339310167653008,0.4128021185860324,1.2707484278268009,1.7997902379593418,1.074802255684858,0.7875874768252349
BLR,-0.5271420953362249,-1.1983667129234896,0.5677332434588902,-1.618885151482625,-0.8480198961814569,0.7354419066410687,0.33490900583059424,0.642955745235419,0.11104843420824838,0.5533706994323278,-0.10833449353237963,0.649276148218483
BEL,-0.19942510441688716,1.3838791088879796,-0.03517516244423716,-0.3919966598673668,0.44606119367803515,-0.724737225811426,-0.01707035409310089,0.15704923044118582,0.04377203744799168,-0.03420251193283235,0.07591193398781439,0.5663445887355668
BIH,0.149120064219077,-1.7650076863956876,-2.3604173934741626,0.2653321144895993,0.9020147045134043,-2.1741455669844005,0.26972028033185186,1.1480463935839098,2.0072358168617828,-0.7086388410284733,-0.8504377663833067,0.13944795017502276
BGR,1.048003775460414,-0.42560217509414244,-0.5663101839388442,-0.18142757093298595,0.34238550354946534,1.1380543673352994,-0.26273660527145953,0.32599906289293146,-0.8663953139844699,-0.9298116621228858,2.054335660605892,0.7430444475608298
HRV,0.08295205459602095,-1.108720534891132,-1.2067879924014286,-0.5328869348108886,0.21607349124214686,-0.4455717760806479,0.3317495021640527,0.9775373226797879,1.3216694508956344,0.17840871041629378,-0.7411222909956384,-0.4741561734585129
CZE,-0.35333698714139544,0.13230662931506704,-0.7617826507975336,0.3014181676798081,-1.8098729864915917,-0.1814600578626817,-1.4180557658783015,-0.4851840712856278,-0.23829447965932823,-0.38971987087908094,-0.8706430660851983,0.7795885881108359
CYP,2.99341131926902,-0.015493626069181352,1.2759602360877336,1.462157654907236,-0.6915325903200575,0.8008589060615787,0.36548111930688093,-0.4520357731624698,0.7095619889604645,1.0130622152108415,-2.4123288873703665,0.5064032971418057
DNK,-1.1447529351772168,1.1275264133178355,-0.6148323059568095,1.0527469869850152,-0.46109388011472763,1.4470139906590214,1.0402933598997677,0.04313487631920585,0.8140945870784828,-0.24701128556343907,-0.35758746737958325,1.0328766623370127
GBR,-0.668318446476211,1.366446501696254,-0.062076299237123385,-0.6043845991527413,0.9142168015495985,-0.9469582599544667,0.6943526543631752,-0.6563573441396183,0.030579776875214466,0.3440298481753918,-1.3310079423543506,1.0126284953450626
EST,-0.6535828156596291,-0.94108065815445,1.8769137927342985,1.2290614982297765,0.07807291629849389,-0.9758373673167139,0.07886775768307643,-1.5017339438230735,1.1800416252509607,-2.716426315687896,1.2830430952639602,-0.4452560552996593
FIN,-1.4331496818014096,-0.6591154128518534,2.2111156351048873,2.043889456948686,2.88637857223048,1.3056718521574402,-0.518179480559877,2.01600468721007,0.8778923318152132,0.8434603584767268,0.38922095438077425,0.09805551620735488
FRA,0.17182372622744477,1.234054636433133,0.004971204936124289,-0.3689785191978072,0.39905802817169983,-0.7155714532993072,-0.5590104358946788,0.4105563538838353,-0.10927125316407767,1.0893451578688431,0.876011586945559,-0.21855636505521717
DEU,-0.3641938776967654,1.0840604043400237,-0.009805259159551586,-0.17055396512421026,-0.4008122875810711,0.3042790290948222,-0.7970993880934747,-0.40741905225624087,0.8136117214949734,-0.13877956072553305,0.32729817122184557,0.7370496271329594
GRC,1.8935518157617963,0.015396115054635865,0.7781954261772426,0.6028512658212399,-0.22652208664156048,0.7082033834888889,-0.2143050059812023,-1.852935860675955,1.1538349713217906,-1.6169515606701512,-0.039062449662738814,1.0260053608386026
HUN,0.12740233711188023,-0.2802951791499899,0.13621439535378987,-1.1768190397504341,-0.39509683382667793,1.086675901653676,1.033871185507269,1.7786657322681982,-0.3018316945945998,1.0793681739742653,0.45715318826790985,-0.761123067799571
ISL,-1.3736863181484862,0.7622052933386163,-0.2543293800908402,0.45173451776252704,-0.3565342612144554,0.2521359724309507,1.9016938060413975,-0.7486329495208282,-0.06246711670588507,0.4933285159637762,0.21771047878382024,0.8332127282112227
